Service Life,Lower Limit,Upper Limit,Passed Years
3,0.464,1,1
3,0.215,0.464,2
3,0.1,0.215,3
3,0.05,0.1,4
3,0.04,0.05,5
3,0.03,0.04,6
3,0.02,0.03,7
3,0.01,0.02,8
3,0,0.01,9
4,0.562,1,1
4,0.316,0.562,2
4,0.178,0.316,3
4,0.1,0.178,4
4,0.056,0.1,5
4,0.05,0.056,6
4,0.04,0.05,7
4,0.03,0.04,8
4,0.02,0.03,9
4,0.01,0.02,10
4,0,0.01,11
5,0.631,1,1
5,0.398,0.631,2
5,0.251,0.398,3
5,0.158,0.251,4
5,0.1,0.158,5
5,0.063,0.1,6
5,0.05,0.063,7
5,0.04,0.05,8
5,0.03,0.04,9
5,0.02,0.03,10
5,0.01,0.02,11
5,0,0.01,12
6,0.681,1,1
6,0.464,0.681,2
6,0.316,0.464,3
6,0.215,0.316,4
6,0.147,0.215,5
6,0.1,0.147,6
6,0.068,0.1,7
6,0.05,0.068,8
6,0.04,0.05,9
6,0.03,0.04,10
6,0.02,0.03,11
6,0.01,0.02,12
6,0,0.01,13
7,0.72,1,1
7,0.518,0.72,2
7,0.373,0.518,3
7,0.268,0.373,4
7,0.193,0.268,5
7,0.139,0.193,6
7,0.1,0.139,7
7,0.072,0.1,8
7,0.052,0.072,9
7,0.05,0.052,10
7,0.04,0.05,11
7,0.03,0.04,12
7,0.02,0.03,13
7,0.01,0.02,14
7,0,0.01,15
8,0.75,1,1
8,0.562,0.75,2
8,0.422,0.562,3
8,0.316,0.422,4
8,0.237,0.316,5
8,0.178,0.237,6
8,0.133,0.178,7
8,0.1,0.133,8
8,0.075,0.1,9
8,0.056,0.075,10
8,0.05,0.056,11
8,0.04,0.05,12
8,0.03,0.04,13
8,0.02,0.03,14
8,0.01,0.02,15
8,0,0.01,16
9,0.774,1,1
9,0.599,0.774,2
9,0.464,0.599,3
9,0.359,0.464,4
9,0.278,0.359,5
9,0.215,0.278,6
9,0.167,0.215,7
9,0.129,0.167,8
9,0.1,0.129,9
9,0.077,0.1,10
9,0.06,0.077,11
9,0.05,0.06,12
9,0.04,0.05,13
9,0.03,0.04,14
9,0.02,0.03,15
9,0.01,0.02,16
9,0,0.01,17
10,0.794,1,1
10,0.631,0.794,2
10,0.501,0.631,3
10,0.398,0.501,4
10,0.316,0.398,5
10,0.251,0.316,6
10,0.2,0.251,7
10,0.158,0.2,8
10,0.126,0.158,9
10,0.1,0.126,10
10,0.079,0.1,11
10,0.063,0.079,12
10,0.0501,0.063,13
10,0.05,0.0501,14
10,0.04,0.05,15
10,0.03,0.04,16
10,0.02,0.03,17
10,0.01,0.02,18
10,0,0.01,19
11,0.811,1,1
11,0.658,0.811,2
11,0.534,0.658,3
11,0.433,0.534,4
11,0.351,0.433,5
11,0.285,0.351,6
11,0.231,0.285,7
11,0.187,0.231,8
11,0.152,0.187,9
11,0.123,0.152,10
11,0.1,0.123,11
11,0.081,0.1,12
11,0.066,0.081,13
11,0.053,0.066,14
11,0.05,0.053,15
11,0.04,0.05,16
11,0.03,0.04,17
11,0.02,0.03,18
11,0.01,0.02,19
11,0,0.01,20
12,0.825,1,1
12,0.681,0.825,2
12,0.562,0.681,3
12,0.464,0.562,4
12,0.383,0.464,5
12,0.316,0.383,6
12,0.261,0.316,7
12,0.215,0.261,8
12,0.178,0.215,9
12,0.147,0.178,10
12,0.121,0.147,11
12,0.1,0.121,12
12,0.083,0.1,13
12,0.068,0.083,14
12,0.056,0.068,15
12,0.05,0.056,16
12,0.04,0.05,17
12,0.03,0.04,18
12,0.02,0.03,19
12,0.01,0.02,20
12,0,0.01,21
13,0.838,1,1
13,0.702,0.838,2
13,0.588,0.702,3
13,0.492,0.588,4
13,0.412,0.492,5
13,0.346,0.412,6
13,0.289,0.346,7
13,0.242,0.289,8
13,0.203,0.242,9
13,0.17,0.203,10
13,0.143,0.17,11
13,0.119,0.143,12
13,0.1,0.119,13
13,0.084,0.1,14
