Service Life,Lower Limit,Upper Limit,Passed Years
3,0,1,1
4,0.375,1,1
4,0,0.375,2
5,0.5,1,1
5,0.25,0.5,2
5,0,0.25,3
6,0.583,1,1
6,0.34,0.583,2
6,0.198,0.34,3
6,0,0.198,4
7,0.643,1,1
7,0.413,0.643,2
7,0.266,0.413,3
7,0.171,0.266,4
7,0,0.171,5
8,0.687,1,1
8,0.472,0.687,2
8,0.324,0.472,3
8,0.223,0.324,4
8,0.153,0.223,5
8,0,0.153,6
9,0.722,1,1
9,0.521,0.722,2
9,0.376,0.521,3
9,0.272,0.376,4
9,0.196,0.272,5
9,0,0.196,6
10,0.75,1,1
10,0.563,0.75,2
10,0.422,0.563,3
10,0.316,0.422,4
10,0.237,0.316,5
10,0,0.237,6
11,0.773,1,1
11,0.598,0.773,2
11,0.462,0.598,3
11,0.357,0.462,4
11,0.276,0.357,5
11,0,0.276,6
12,0.792,1,1
12,0.627,0.792,2
12,0.497,0.627,3
12,0.393,0.497,4
12,0.312,0.393,5
12,0,0.312,6
13,0.808,1,1
13,0.653,0.808,2
13,0.528,0.653,3
13,0.426,0.528,4
13,0.344,0.426,5
13,0,0.344,6
14,0.821,1,1
14,0.674,0.821,2
14,0.553,0.674,3
14,0.454,0.553,4
14,0.373,0.454,5
14,0,0.373,6
15,0.833,1,1
15,0.694,0.833,2
15,0.578,0.694,3
15,0.481,0.578,4
15,0.401,0.481,5
15,0,0.401,6
16,0.844,1,1
16,0.712,0.844,2
16,0.601,0.712,3
16,0.507,0.601,4
16,0.428,0.507,5
16,0,0.428,6
17,0.853,1,1
17,0.728,0.853,2
17,0.621,0.728,3
17,0.529,0.621,4
17,0.452,0.529,5
17,0,0.452,6
18,0.861,1,1
18,0.741,0.861,2
18,0.638,0.741,3
18,0.55,0.638,4
18,0.473,0.55,5
18,0,0.473,6
19,0.868,1,1
19,0.753,0.868,2
19,0.654,0.753,3
19,0.568,0.654,4
19,0.493,0.568,5
19,0,0.493,6
20,0.875,1,1
20,0.766,0.875,2
20,0.67,0.766,3
20,0.586,0.67,4
20,0.513,0.586,5
20,0,0.513,6
21,0.881,1,1
21,0.776,0.881,2
21,0.684,0.776,3
21,0.602,0.684,4
21,0.531,0.602,5
21,0,0.531,6
22,0.886,1,1
22,0.785,0.886,2
22,0.696,0.785,3
22,0.616,0.696,4
22,0.546,0.616,5
22,0,0.546,6
23,0.891,1,1
23,0.794,0.891,2
23,0.707,0.794,3
23,0.63,0.707,4
23,0.562,0.63,5
23,0,0.562,6
24,0.896,1,1
24,0.803,0.896,2
24,0.719,0.803,3
24,0.645,0.719,4
24,0.577,0.645,5
24,0,0.577,6
25,0.9,1,1
25,0.81,0.9,2
25,0.729,0.81,3
25,0.656,0.729,4
25,0.59,0.656,5
25,0,0.59,6
26,0.904,1,1
26,0.817,0.904,2
26,0.739,0.817,3
26,0.668,0.739,4
26,0.604,0.668,5
26,0,0.604,6
27,0.907,1,1
27,0.823,0.907,2
27,0.746,0.823,3
27,0.677,0.746,4
27,0.614,0.677,5
27,0,0.614,6
28,0.911,1,1
28,0.83,0.911,2
28,0.756,0.83,3
28,0.689,0.756,4
28,0.627,0.689,5
28,0,0.627,6
29,0.914,1,1
29,0.835,0.914,2
29,0.764,0.835,3
29,0.698,0.764,4
29,0.638,0.698,5
29,0,0.638,6
30,0.917,1,1
30,0.841,0.917,2
30,0.771,0.841,3
30,0.707,0.771,4
30,0.648,0.707,5
30,0,0.648,6
31,0.919,1,1
31,0.845,0.919,2
31,0.776,0.845,3
31,0.713,0.776,4
31,0.656,0.713,5
31,0,0.656,6
32,0.922,1,1
32,0.85,0.922,2
32,0.784,0.85,3
32,0.723,0.784,4
32,0.666,0.723,5
32,0,0.666,6
33,0.924,1,1
33,0.854,0.924,2
33,0.789,0.854,3
33,0.729,0.789,4
33,0.674,0.729,5
33,0,0.674,6
34,0.926,1,1
34,0.857,0.926,2
34,0.794,0.857,3
34,0.735,0.794,4
34,0.681,0.735,5
34,0,0.681,6
35,0.929,1,1
35,0.863,0.929,2
35,0.802,0.863,3
35,0.745,0.802,4
35,0.692,0.745,5
35,0,0.692,6
36,0.931,1,1
36,0.867,0.931,2
36,0.807,0.867,3
36,0.751,0.807,4
36,0.699,0.751,5
36,0,0.699,6
37,0.932,1,1
37,0.869,0.932,2
37,0.81,0.869,3
37,0.755,0.81,4
37,0.703,0.755,5
37,0,0.703,6
38,0.934,1,1
38,0.872,0.934,2
38,0.815,0.872,3
38,0.761,0.815,4
38,0.711,0.761,5
38,0,0.711,6
39,0.936,1,1
39,0.876,0.936,2
39,0.82,0.876,3
39,0.768,0.82,4
39,0.718,0.768,5
39,0,0.718,6
40,0.937,1,1
40,0.878,0.937,2
40,0.823,0.878,3
40,0.771,0.823,4
40,0.722,0.771,5
40,0,0.722,6
41,0.939,1,1
41,0.882,0.939,2
41,0.828,0.882,3
41,0.777,0.828,4
41,0.73,0.777,5
41,0,0.73,6
42,0.94,1,1
42,0.884,0.94,2
42,0.831,0.884,3
42,0.781,0.831,4
42,0.734,0.781,5
42,0,0.734,6
43,0.942,1,1
43,0.887,0.942,2
43,0.836,0.887,3
43,0.787,0.836,4
43,0.742,0.787,5
43,0,0.742,6
44,0.943,1,1
44,0.889,0.943,2
44,0.839,0.889,3
44,0.791,0.839,4
44,0.746,0.791,5
44,0,0.746,6
45,0.944,1,1
45,0.891,0.944,2
45,0.841,0.891,3
